p1,p2,avg_mean_cost,avg_std_cost
1,1,67951.33878131064,20956.15879097695
1,2,50523.856073812494,23276.44062508643
1,3,33677.22806090398,20238.919293281215
1,4,22670.139737797457,12973.411333400327
1,5,19120.187950625885,6357.046012525592
1,6,20075.748062253013,3458.9068305278815
1,7,22798.964310146603,3167.1692288640597
1,8,26007.437330224595,3312.592697106514
1,9,29392.243121476396,3424.086524697683
1,10,32792.6104982289,3477.031445524737
2,1,44053.814329695095,22738.085046129927
2,2,29412.467201169915,17987.372637226457
2,3,21249.748852812183,10845.15814973941
2,4,19393.34441560714,5422.4257273910835
2,5,20976.98705290528,3353.366017234718
2,6,23880.186254862296,3263.512290962806
2,7,27173.927177111284,3412.500130956884
2,8,30531.67368233047,3502.810446456559
2,9,33947.5794018297,3530.7600172965363
2,10,37391.81884080647,3502.7400231678034
3,1,24105.499454944278,14407.460934891364
3,2,19583.691926721676,7599.329691269755
3,3,19820.651225377667,3993.062916906143
3,4,22221.754471588367,3262.218505785855
3,5,25304.32204444758,3346.7173287088494
3,6,28622.99549426767,3445.1712060589093
3,7,32019.063839401,3496.2528967570665
3,8,35450.13896465837,3524.5771310080772
3,9,38885.538690192254,3517.1701386749664
3,10,42265.93575677162,3379.0269375746325
4,1,19383.68146906554,5988.825321066121
4,2,20699.865848026144,3768.9527314619113
4,3,23366.183773341854,3330.5327794260743
4,4,26492.96966155005,3426.3164843386835
4,5,29861.657302169162,3523.20549704725
4,6,33291.832460879756,3576.1845674546394
4,7,36720.96524179675,3572.5588845204534
4,8,40152.401102664146,3519.1980382713086
4,9,43468.45614532734,3341.905902136697
4,10,46590.923754022886,3033.859693845804
5,1,22150.558156678784,3296.992104484766
5,2,25147.162192490057,3376.4675608205307
5,3,28381.398233197327,3522.245001813418
5,4,31717.629954490178,3597.9563403285288
5,5,35109.223813243276,3627.4801827838423
5,6,38539.595978530066,3614.685191752387
5,7,41933.28742441751,3486.7432805576163
5,8,45125.31327211159,3228.82455800649
5,9,48055.053336362864,2880.436138324697
5,10,50731.810458362306,2601.3134774011264
6,1,26388.86154449373,3393.106065144527
6,2,29608.0164727712,3500.8558070816057
6,3,32954.16610023804,3587.303942968757
6,4,36355.097129635804,3592.647562335325
6,5,39795.44312382692,3557.1994979677006
6,6,43120.876912671876,3413.7171351563866
6,7,46244.46082131853,3145.5611428748625
6,8,49095.494925911706,2810.3723468136413
6,9,51682.651233576566,2565.4096504176973
6,10,54145.311484045924,2454.616542036165
7,1,31241.669595087926,3569.073520991327
7,2,34595.680036948615,3642.850477473743
7,3,37999.014010764244,3648.5537580127652
7,4,41359.0674997062,3582.0506676698574
7,5,44601.749336344794,3339.7430827544886
7,6,47597.620625349664,2999.635896201054
7,7,50325.26899709992,2693.9760322757425
7,8,52852.725024462234,2517.2897674661417
7,9,55277.93594331979,2456.39816699837
7,10,57681.86219014241,2433.653787381456
8,1,36375.04351730169,3656.5177663783807
8,2,39741.15301857986,3647.8508711276636
8,3,43073.13476945005,3496.889002715581
8,4,46220.65489535646,3172.2659197193993
8,5,49062.59883153262,2841.6070744967974
8,6,51659.06358050672,2595.537586765728
8,7,54118.05972467388,2492.6769309620836
8,8,56522.741214935995,2464.180697858533
8,9,58922.116985698696,2459.554372917786
8,10,61299.07658534874,2449.102786770132
9,1,41771.48465602137,3585.810178487504
9,2,44967.6823468085,3348.5320632096955
9,3,47927.61217905288,2990.5909289859287
9,4,50621.593390465474,2675.1512402524095
9,5,53124.614593514685,2511.5918023846193
9,6,55555.30595292538,2453.03771463299
9,7,57973.941155351,2439.6489147151574
9,8,60367.91177877946,2431.2622165455514
9,9,62744.50228911595,2412.8049522101705
9,10,65098.670915326096,2352.234621060573
10,1,46181.810284092724,3214.8209342714354
10,2,49044.77872147511,2852.5174677176565
10,3,51644.70078442132,2582.9330186750017
10,4,54096.474953826895,2479.6940166190902
10,5,56510.419860739516,2468.4654632722777
10,6,58921.426985573096,2453.095854646872
10,7,61326.882153769,2438.7177805913557
10,8,63696.523660611165,2388.973483010768
10,9,66001.55398549234,2268.306722162853
10,10,68207.31821710741,2101.5927364458553
